% Model:              3D 2024-05-17.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jun 13 2024, 00:35
% Dimension:          3
% Nodes:              101
% Expressions:        4
% Description:        , , , 
% Length unit:        mm
% X                       Y                        Z                        real(u) (mm) @ freq=2E5  imag(u) (mm) @ freq=2E5  real(w) (mm) @ freq=2E5  imag(w) (mm) @ freq=2E5
3.08447                   0                        -0.6824120000000001      6.784419542783011E-8     2.2138714879554346E-7    -1.3229136841893566E-8   1.4048302036666595E-6
3.07348                   0                        -0.730298                9.231434087296067E-8     2.0699649121014002E-7    -1.951168702728495E-8    1.409990111167709E-6
3.0617500000000004        0                        -0.778008                1.1595996892551332E-7    1.9296341019430855E-7    -2.6079353770175264E-8   1.4150660391537155E-6
3.04928                   0                        -0.82553                 1.3913207339852557E-7    1.793288693916021E-7     -3.343176284886245E-8    1.4201184309498796E-6
3.03607                   0                        -0.8728520000000001      1.6172110543851267E-7    1.661114669367654E-7     -4.15803612576042E-8     1.425146194467655E-6
3.0221300000000006        0                        -0.919963                1.838742699380954E-7     1.5330522682191178E-7    -5.045832289051509E-8    1.4301522112262589E-6
3.00746                   0                        -0.966851                2.057109961168913E-7     1.4085481254936961E-7    -6.009529140202679E-8    1.4351791643634973E-6
2.99206                   0                        -1.01351                 2.274430901340232E-7     1.2860209489092156E-7    -7.064568747346497E-8    1.4403736356773563E-6
2.9759400000000005        0                        -1.05991                 2.4878598965443714E-7    1.1662183844313437E-7    -8.241136992205483E-8    1.4457270164632848E-6
2.95909                   0                        -1.1060700000000003      2.692156912791824E-7     1.0497290821779437E-7    -9.449199844979787E-8    1.451112532593257E-6
2.94153                   0                        -1.15195                 2.887434465511769E-7     9.366606865289429E-8     -1.0688959624982442E-7   1.4565243075904742E-6
2.92326                   0                        -1.1975600000000002      3.0740333701001203E-7    8.269911864292057E-8     -1.1962159521462446E-7   1.4619630709398377E-6
2.90428                   0                        -1.24288                 3.252185918132164E-7     7.207688912116706E-8     -1.327074139655094E-7    1.4674306177549608E-6
2.8846                    0                        -1.28789                 3.420641354507101E-7     6.188037291983471E-8     -1.4625532442322162E-7   1.4729404519121086E-6
2.86423                   0                        -1.3326                  3.5833379440268286E-7    5.201471239690941E-8     -1.6026138403106988E-7   1.4785060805677056E-6
2.8431600000000006        0                        -1.37698                 3.7408555820398985E-7    4.247001660585676E-8     -1.7474172515944056E-7   1.4841324778421425E-6
2.8214000000000006        0                        -1.42103                 3.893390097315267E-7     3.324520293918934E-8     -1.897072688719549E-7    1.489815487155023E-6
2.79896                   0                        -1.46474                 4.0411107340928887E-7    2.4341098297255348E-8    -2.0517028099866523E-7   1.495551588258292E-6
2.7758400000000005        0                        -1.50809                 4.1841814715630067E-7    1.5760262948051596E-8    -2.2115297821645683E-7   1.5013419269653209E-6
2.75205                   0                        -1.55108                 4.322808088633284E-7     7.500873806198784E-9     -2.376687683010476E-7    1.5071825124293134E-6
2.72759                   0                        -1.59369                 4.4571670378486036E-7    -4.3513901316175835E-10  -2.547419147991793E-7    1.5130747009819302E-6
2.70248                   0                        -1.63591                 4.587433363949713E-7     -8.048337872306778E-9    -2.7237978775202976E-7   1.5190116966906957E-6
2.67671                   0                        -1.67774                 4.710554578152589E-7     -1.5398887890108558E-8   -2.9019290444338065E-7   1.5249990458522215E-6
2.6503                    0                        -1.71917                 4.829143664576328E-7     -2.2472950121061412E-8   -3.0841085568255516E-7   1.531046334094853E-6
2.62324                   0                        -1.76018                 4.945435304780251E-7     -2.923632384166599E-8    -3.2751224979882746E-7   1.5371502837213308E-6
2.59555                   0                        -1.80076                 5.056801398783394E-7     -3.565591246727845E-8    -3.4758167242544604E-7   1.5432590765758927E-6
2.56723                   0                        -1.84091                 5.158679933446177E-7     -4.177260486380832E-8    -3.676531568320727E-7    1.5493791827694494E-6
2.53829                   0                        -1.8806100000000001      5.251208775080861E-7     -4.758548306622396E-8    -3.877444192864934E-7    1.5555078791701476E-6
2.50874                   0                        -1.9198600000000001      5.334561723643795E-7     -5.309716745092533E-8    -4.078717985305805E-7    1.5616405197511367E-6
2.47857                   0                        -1.9586399999999997      5.407868604882193E-7     -5.83003923747518E-8     -4.2766292715063293E-7   1.5677522021453634E-6
2.44781                   0                        -1.99695                 5.471821720479534E-7     -6.320516277520051E-8    -4.4715607444874656E-7   1.573837919244597E-6
2.41646                   0                        -2.03478                 5.527340324541576E-7     -6.78180916983549E-8     -4.6662271148933016E-7   1.5799164677509716E-6
2.38453                   0                        -2.07211                 5.576057049541009E-7     -7.214937683828678E-8    -4.860906679239179E-7    1.5859849580462734E-6
2.35201                   0                        -2.10895                 5.622991898173047E-7     -7.623573911982283E-8    -5.057209269535374E-7    1.5920534931549667E-6
2.31893                   0                        -2.14527                 5.664368479135418E-7     -8.005103115538788E-8    -5.255572736661013E-7    1.5981244889761742E-6
2.28529                   0                        -2.18107                 5.700270279166198E-7     -8.359816357130238E-8    -5.4561944232293E-7      1.6041963077363146E-6
2.2510900000000005        0                        -2.21635                 5.730780391604966E-7     -8.688006376710046E-8    -5.659278506551625E-7    1.6102671905882179E-6
2.21635                   0                        -2.2510900000000005      5.75596870697432E-7      -8.989798897635653E-8    -5.864918683093096E-7    1.6163318399706691E-6
2.18107                   0                        -2.28529                 5.773960806546322E-7     -9.263600444610965E-8    -6.071340799049892E-7    1.6223750828496587E-6
2.14527                   0                        -2.31893                 5.78223538423179E-7      -9.508542218055373E-8    -6.274433915369773E-7    1.6283697960924196E-6
2.10895                   0                        -2.35201                 5.784367096370481E-7     -9.729087914341324E-8    -6.477215405650474E-7    1.634336830258411E-6
2.07211                   0                        -2.38453                 5.780405336364917E-7     -9.925512607238348E-8    -6.67991857654893E-7     1.6402747143046606E-6
2.03478                   0                        -2.41646                 5.770413816517554E-7     -1.0097914507691099E-7   -6.882639901526032E-7    1.6461779301882812E-6
1.99695                   0                        -2.44781                 5.755377315515649E-7     -1.0247069013970642E-7   -7.08889220096743E-7     1.6520448798760753E-6
1.9586399999999997        0                        -2.47857                 5.733469359868481E-7     -1.0372574790135659E-7   -7.294965317421511E-7    1.6578488355097303E-6
1.9198600000000001        0                        -2.50874                 5.702803226593167E-7     -1.0474042659160094E-7   -7.495483298616755E-7    1.6635791463354202E-6
1.8806100000000001        0                        -2.53829                 5.664832991628229E-7     -1.0550722190604016E-7   -7.692042327556203E-7    1.6692338079847116E-6
1.84091                   0                        -2.56723                 5.619961155166933E-7     -1.0604582999300297E-7   -7.885874349661627E-7    1.67481352990683E-6
1.80076                   0                        -2.59555                 5.567940876128769E-7     -1.0636187126928482E-7   -8.077141110311695E-7    1.6803194647239846E-6
1.76018                   0                        -2.62324                 5.508735404384607E-7     -1.0645915660129172E-7   -8.265927019391171E-7    1.6857456136822825E-6
1.71917                   0                        -2.6503                  5.442292402199328E-7     -1.063413927956816E-7    -8.452446268379292E-7    1.691089550211696E-6
1.67774                   0                        -2.67671                 5.369801435637603E-7     -1.0602296143014825E-7   -8.634196580148569E-7    1.6963460884593937E-6
1.63591                   0                        -2.70248                 5.29251916554687E-7      -1.0551710670572769E-7   -8.809994446568459E-7    1.7015081454833925E-6
1.59369                   0                        -2.72759                 5.209223876155911E-7     -1.0481310496862966E-7   -8.983500923159863E-7    1.7065813472802873E-6
1.55108                   0                        -2.75205                 5.119821615219326E-7     -1.0391552095305411E-7   -9.15484233182632E-7     1.7115616342863363E-6
1.50809                   0                        -2.7758400000000005      5.02428219412682E-7      -1.0282743295359953E-7   -9.32426824234898E-7     1.7164484762550347E-6
1.46474                   0                        -2.79896                 4.924009471801449E-7     -1.014971348389167E-7    -9.487500430174749E-7    1.721226803999023E-6
1.42103                   0                        -2.8214000000000006      4.820496783305341E-7     -9.99931275095104E-8     -9.649967675613714E-7    1.7259133444367996E-6
1.37698                   0                        -2.8431600000000006      4.7136527531246816E-7    -9.832740886356466E-8    -9.812303094143731E-7    1.7305035804420293E-6
1.3326                    0                        -2.86423                 4.6034054335626054E-7    -9.6503334611079E-8      -9.974720129249124E-7    1.7349958763330586E-6
1.28789                   0                        -2.8846                  4.489668582855968E-7     -9.452369550560426E-8    -1.0137520282463036E-6   1.7393907091660656E-6
1.24288                   0                        -2.90428                 4.372378848872805E-7     -9.239459641761863E-8    -1.030066581868753E-6    1.7436788142748581E-6
1.1975600000000002        0                        -2.92326                 4.248344527405474E-7     -9.013597713193632E-8    -1.0461729487020295E-6   1.7478527655826495E-6
1.15195                   0                        -2.94153                 4.1202757884830675E-7    -8.77360875731521E-8     -1.0626055437619103E-6   1.7518922873299051E-6
1.1060700000000003        0                        -2.95909                 3.9876691403978693E-7    -8.519192849129813E-8    -1.0780853076891384E-6   1.7557825528894414E-6
1.05991                   0                        -2.9759400000000005      3.8503250770439576E-7    -8.250700033421012E-8    -1.0926261737627262E-6   1.7595233124378412E-6
1.01351                   0                        -2.99206                 3.707724274325393E-7     -7.968824794426537E-8    -1.1060751760591795E-6   1.7631070800146477E-6
0.966851                  0                        -3.00746                 3.560254037911382E-7     -7.673784872216041E-8    -1.1185715494387802E-6   1.7665362462135395E-6
0.919963                  0                        -3.0221300000000006      3.4079317764624125E-7    -7.366194305995202E-8    -1.130138034348828E-6    1.7698075976507023E-6
0.8728520000000001        0                        -3.03607                 3.2506327143307734E-7    -7.046543457544786E-8    -1.1407862156407982E-6   1.7729191087080463E-6
0.82553                   0                        -3.04928                 3.088253806258368E-7     -6.715372430142271E-8    -1.1505265022951842E-6   1.7758680906995483E-6
0.778008                  0                        -3.0617500000000004      2.920709395087851E-7     -6.373186679002794E-8    -1.159380938747043E-6    1.7786544749778045E-6
0.730298                  0                        -3.07348                 2.747390960261013E-7     -6.021195447938844E-8    -1.1670888269595894E-6   1.7813043709144423E-6
0.6824120000000001        0                        -3.08447                 2.5734676652320307E-7    -5.6605583934266905E-8   -1.1745250607748604E-6   1.7838088704187468E-6
0.63436                   0                        -3.09471                 2.399027921658672E-7     -5.2916926348610246E-8   -1.1817502019692708E-6   1.786166624689107E-6
0.586155                  0                        -3.1042                  2.2238993946833755E-7    -4.915078144445227E-8    -1.1887641243908668E-6   1.7883756765382523E-6
0.537808                  0                        -3.11294                 2.0479057670115007E-7    -4.5311814081488185E-8   -1.195569198898514E-6    1.7904344812494468E-6
0.489332                  0                        -3.12092                 1.870890198411496E-7     -4.140468702846093E-8    -1.2021785329402383E-6   1.7923438745977853E-6
0.440736                  0                        -3.1281600000000003      1.692654980175103E-7     -3.743435483872389E-8    -1.208579504579304E-6    1.7940982308977845E-6
0.3920350000000001        0                        -3.13463                 1.5130735040117123E-7    -3.3405355968954225E-8   -1.2148076044553048E-6   1.7957033806577723E-6
0.343238                  0                        -3.14035                 1.3319553389804532E-7    -2.932266354542978E-8    -1.2208535803605777E-6   1.7971541001912777E-6
0.294358                  0                        -3.14531                 1.1491535619880407E-7    -2.519108852006912E-8    -1.2267379117089425E-6   1.7984521543130614E-6
0.24540700000000001       0                        -3.14951                 9.60594440627898E-8      -2.1022358714373026E-8   -1.2325280149907076E-6   1.7995587055168588E-6
0.196397                  0                        -3.1529400000000005      7.675484926872911E-8     -1.682203268032902E-8    -1.237710242067782E-6    1.8004387935980222E-6
0.147339                  0                        -3.15561                 5.764511622692255E-8     -1.2594906208948353E-8   -1.2417255096425221E-6   1.8011387714732245E-6
0.0982461                 0                        -3.15752                 3.871183798402E-8        -8.347027969042308E-9    -1.2445635530076002E-6   1.8016578308092931E-6
0.049129000000000006      0                        -3.1586700000000003      1.993564501648731E-8     -4.084242499577041E-9    -1.2462172878688652E-6   1.8019954649463498E-6
