% x, y, z, R, phi, psi, real(u), imag(u), real(v), imag(v), real(w), imag(w)
  0.839687E+002  0.000000E+000 -0.439421E+002  0.947716E+002  0.000000E+000  0.205292E+001  0.513125E-006 -0.369481E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.832752E+002  0.000000E+000 -0.452427E+002  0.947716E+002  0.000000E+000  0.206847E+001 -0.247296E-005 -0.376315E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.825615E+002  0.000000E+000 -0.465323E+002  0.947716E+002  0.000000E+000  0.208403E+001 -0.550379E-005 -0.443167E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.818278E+002  0.000000E+000 -0.478106E+002  0.947716E+002  0.000000E+000  0.209958E+001 -0.840571E-005 -0.566426E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.810744E+002  0.000000E+000 -0.490774E+002  0.947716E+002  0.000000E+000  0.211513E+001 -0.110330E-004 -0.738263E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.803014E+002  0.000000E+000 -0.503323E+002  0.947716E+002  0.000000E+000  0.213068E+001 -0.132759E-004 -0.947915E-005  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.795089E+002  0.000000E+000 -0.515751E+002  0.947716E+002  0.000000E+000  0.214624E+001 -0.150639E-004 -0.118301E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.786972E+002  0.000000E+000 -0.528054E+002  0.947716E+002  0.000000E+000  0.216179E+001 -0.163650E-004 -0.143078E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.778664E+002  0.000000E+000 -0.540229E+002  0.947716E+002  0.000000E+000  0.217734E+001 -0.171821E-004 -0.167910E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.770169E+002  0.000000E+000 -0.552273E+002  0.947716E+002  0.000000E+000  0.219289E+001 -0.175465E-004 -0.191728E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.761487E+002  0.000000E+000 -0.564184E+002  0.947716E+002  0.000000E+000  0.220845E+001 -0.175109E-004 -0.213655E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.752621E+002  0.000000E+000 -0.575958E+002  0.947716E+002  0.000000E+000  0.222400E+001 -0.171421E-004 -0.233035E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.743572E+002  0.000000E+000 -0.587593E+002  0.947716E+002  0.000000E+000  0.223955E+001 -0.165139E-004 -0.249435E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.734344E+002  0.000000E+000 -0.599086E+002  0.947716E+002  0.000000E+000  0.225510E+001 -0.157014E-004 -0.262631E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.724939E+002  0.000000E+000 -0.610434E+002  0.947716E+002  0.000000E+000  0.227066E+001 -0.147756E-004 -0.272584E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.715358E+002  0.000000E+000 -0.621634E+002  0.947716E+002  0.000000E+000  0.228621E+001 -0.138003E-004 -0.279407E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.705604E+002  0.000000E+000 -0.632684E+002  0.947716E+002  0.000000E+000  0.230176E+001 -0.128299E-004 -0.283327E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.695679E+002  0.000000E+000 -0.643581E+002  0.947716E+002  0.000000E+000  0.231731E+001 -0.119077E-004 -0.284654E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.685586E+002  0.000000E+000 -0.654322E+002  0.947716E+002  0.000000E+000  0.233287E+001 -0.110666E-004 -0.283741E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.675327E+002  0.000000E+000 -0.664905E+002  0.947716E+002  0.000000E+000  0.234842E+001 -0.103289E-004 -0.280965E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.664905E+002  0.000000E+000 -0.675327E+002  0.947716E+002  0.000000E+000  0.236397E+001 -0.970769E-005 -0.276696E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.654322E+002  0.000000E+000 -0.685586E+002  0.947716E+002  0.000000E+000  0.237952E+001 -0.920798E-005 -0.271285E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.643581E+002  0.000000E+000 -0.695679E+002  0.947716E+002  0.000000E+000  0.239508E+001 -0.882838E-005 -0.265050E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.632684E+002  0.000000E+000 -0.705604E+002  0.947716E+002  0.000000E+000  0.241063E+001 -0.856247E-005 -0.258269E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.621634E+002  0.000000E+000 -0.715358E+002  0.947716E+002  0.000000E+000  0.242618E+001 -0.840018E-005 -0.251176E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.610434E+002  0.000000E+000 -0.724939E+002  0.947716E+002  0.000000E+000  0.244173E+001 -0.832909E-005 -0.243963E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.599086E+002  0.000000E+000 -0.734344E+002  0.947716E+002  0.000000E+000  0.245729E+001 -0.833546E-005 -0.236779E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.587593E+002  0.000000E+000 -0.743572E+002  0.947716E+002  0.000000E+000  0.247284E+001 -0.840507E-005 -0.229735E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.575958E+002  0.000000E+000 -0.752621E+002  0.947716E+002  0.000000E+000  0.248839E+001 -0.852396E-005 -0.222908E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.564184E+002  0.000000E+000 -0.761487E+002  0.947716E+002  0.000000E+000  0.250394E+001 -0.867886E-005 -0.216348E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.552273E+002  0.000000E+000 -0.770169E+002  0.947716E+002  0.000000E+000  0.251950E+001 -0.885756E-005 -0.210080E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.540229E+002  0.000000E+000 -0.778664E+002  0.947716E+002  0.000000E+000  0.253505E+001 -0.904908E-005 -0.204110E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.528054E+002  0.000000E+000 -0.786972E+002  0.947716E+002  0.000000E+000  0.255060E+001 -0.924382E-005 -0.198430E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.515751E+002  0.000000E+000 -0.795089E+002  0.947716E+002  0.000000E+000  0.256615E+001 -0.943355E-005 -0.193022E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.503323E+002  0.000000E+000 -0.803014E+002  0.947716E+002  0.000000E+000  0.258170E+001 -0.961138E-005 -0.187858E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.490774E+002  0.000000E+000 -0.810744E+002  0.947716E+002  0.000000E+000  0.259726E+001 -0.977165E-005 -0.182909E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.478106E+002  0.000000E+000 -0.818278E+002  0.947716E+002  0.000000E+000  0.261281E+001 -0.990986E-005 -0.178141E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  0.465323E+002  0.000000E+000 -0.825615E+002  0.947716E+002  0.000000E+000  0.262836E+001 -0.100225E-004 -0.173520E-004  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
